	SV_1	SV_2	SV_3	SV_4	SV_5	SV_6	SV_7	SV_8	SV_9	SV_10	SV_11	SV_12	SV_13	SV_14	SV_15	SV_16	SV_17	SV_18	SV_19	SV_20	SV_21	SV_22	SV_23	SV_24	SV_25	SV_26	SV_27	SV_28	SV_29	SV_30	SV_31	SV_32	SV_33	SV_34	SV_35	SV_36	SV_37	SV_38	SV_39	SV_40	SV_41	SV_42	SV_43	SV_44	SV_45	SV_46	SV_47	SV_48	SV_49	SV_50	SV_51	SV_52	SV_53	SV_54	SV_55	SV_56	SV_57	SV_58	SV_59	SV_60	SV_61	SV_62	SV_63	SV_64	SV_65	SV_66	SV_67	SV_68	SV_69	SV_70	SV_71	SV_72	SV_73	SV_74	SV_75	SV_76	SV_77	SV_78	SV_79	SV_80	SV_81	SV_82	SV_83	SV_84	SV_85	SV_86	SV_87	SV_88	SV_89	SV_90	SV_91	SV_92	SV_93	SV_94	SV_95	SV_96	SV_97	SV_98	SV_99	SV_100	SV_101	SV_102	SV_103	SV_104	SV_105	SV_106	SV_107	SV_108	SV_109	SV_110	SV_111	SV_112	SV_113	SV_114	SV_115	SV_116	SV_117	SV_118	SV_119	SV_120	SV_121	SV_122	SV_123	SV_124	SV_125	SV_126	SV_127	SV_128	SV_129	SV_130	SV_131	SV_132	SV_133	SV_134	SV_135	SV_136	SV_137	SV_138	SV_139	SV_140	SV_141	SV_142	SV_143	SV_144	SV_145	SV_146	SV_147	SV_148	SV_149	SV_150	SV_151	SV_152	SV_153	SV_154	SV_155	SV_156	SV_157	SV_158	SV_159	SV_160	SV_161	SV_162	SV_163	SV_164	SV_165	SV_166	SV_167	SV_168	SV_169	SV_170	SV_171	SV_172	SV_173	SV_174	SV_175	SV_176	SV_177	SV_178	SV_179	SV_180	SV_181	SV_182	SV_183	SV_184	SV_185	SV_186	SV_187	SV_188	SV_189	SV_190	SV_191	SV_192	SV_193	SV_194	SV_195	SV_196	SV_197	SV_198	SV_199	SV_200	SV_201	SV_202	SV_203	SV_204	SV_205	SV_206	SV_207	SV_208	SV_209	SV_210	SV_211	SV_212	SV_213	SV_214	SV_215	SV_216	SV_217	SV_218	SV_219	SV_220	SV_221	SV_222	SV_223	SV_224	SV_225	SV_226	SV_227	SV_228	SV_229	SV_230	SV_231	SV_232	SV_233	SV_234	SV_235	SV_236	SV_237	SV_238	SV_239	SV_240	SV_241	SV_242	SV_243	SV_244	SV_245	SV_246	SV_247	SV_248	SV_249	SV_250	SV_251	SV_252	SV_253	SV_254	SV_255	SV_256	SV_257	SV_258	SV_259	SV_260	SV_261	SV_262	SV_263	SV_264	SV_265	SV_266	SV_267	SV_268	SV_269	SV_270	SV_271	SV_272	SV_273	SV_274	SV_275	SV_276	SV_277	SV_278	SV_279	SV_280	SV_281	SV_282	SV_283	SV_284	SV_285	SV_286	SV_287	SV_288	SV_289	SV_290	SV_291	SV_292	SV_293	SV_294	SV_295	SV_296	SV_297	SV_298	SV_299	SV_300	SV_301	SV_302	SV_303	SV_304	SV_305	SV_306	SV_307	SV_308	SV_309	SV_310	SV_311	SV_312	SV_313	SV_314	SV_315	SV_316	SV_317	SV_318	SV_319	SV_320	SV_321	SV_322	SV_323	SV_324	SV_325	SV_326	SV_327	SV_328	SV_329	SV_330	SV_331	SV_332	SV_333	SV_334	SV_335	SV_336	SV_337	SV_338	SV_339	SV_340	SV_341	SV_342	SV_343	SV_344	SV_345	SV_346	SV_347	SV_348	SV_349	SV_350	SV_351	SV_352	SV_353	SV_354	SV_355	SV_356	SV_357	SV_358	SV_359	SV_360	SV_361	SV_362	SV_363	SV_364	SV_365	SV_366	SV_367	SV_368	SV_369	SV_370	SV_371	SV_372	SV_373	SV_374	SV_375	SV_376	SV_377	SV_378	SV_379	SV_380	SV_381	SV_382	SV_383	SV_384	SV_385	SV_386	SV_387	SV_388	SV_389	SV_390	SV_391	SV_392	SV_393	SV_394	SV_395	SV_396	SV_397	SV_398	SV_399	SV_400	SV_401	SV_402	SV_403	SV_404	SV_405	SV_406	SV_407	SV_408	SV_409	SV_410	SV_411	SV_412	SV_413	SV_414	SV_415	SV_416	SV_417	SV_418	SV_419	SV_420	SV_421	SV_422	SV_423	SV_424	SV_425	SV_426	SV_427	SV_428	SV_429	SV_430	SV_431	SV_432	SV_433	SV_434	SV_435	SV_436	SV_437	SV_438	SV_439	SV_440	SV_441	SV_442	SV_443	SV_444	SV_445	SV_446	SV_447	SV_448	SV_449	SV_450	SV_451	SV_452	SV_453	SV_454	SV_455	SV_456	SV_457	SV_458	SV_459	SV_460	SV_461	SV_462	SV_463	SV_464	SV_465	SV_466	SV_467	SV_468	SV_469
C6_NEG	130	200	178	69	94	29	41	41	0	100	0	0	28	39	39	0	43	0	39	45	59	0	17	0	97	0	0	0	40	0	0	16	0	0	21	0	0	0	0	0	0	0	0	0	26	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	28	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T1_R1	3302	5021	2868	826	1776	529	1396	970	31	12200	0	1698	71	650	287	241	365	944	389	0	805	555	212	64	342	450	543	3701	95	310	445	26	17	37	0	0	356	0	168	0	211	263	87	56	26	0	873	362	35	0	0	17	158	155	0	0	50	0	30	0	378	46	0	0	136	0	0	31	93	0	0	0	7	0	0	26	0	0	0	0	0	0	0	0	0	107	87	7	7	0	0	0	0	0	24	665	0	57	9	0	0	0	0	33	89	0	0	0	0	74	0	0	235	113	110	0	0	10	18	3	104	0	0	0	185	0	0	189	0	0	0	27	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T1_R2	5300	2683	1714	1408	821	643	538	1060	87	220	0	62	1454	2339	598	432	0	651	304	0	70	91	76	0	2447	541	1102	679	384	562	28	1167	1084	148	376	156	0	0	307	96	244	170	82	0	0	0	94	521	735	427	0	36	90	190	0	0	65	0	206	0	687	85	0	0	0	0	0	149	0	0	0	25	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	246	168	0	28	0	0	0	0	0	0	0	37	0	0	0	0	514	0	0	0	0	0	100	0	0	73	0	0	0	0	0	8	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	29	0	0	0	0	0	74	0	0	0	0	0	0	0	110	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	159	0	0	0	0	0	0	0	0	0	0	140	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T1_R3	3941	8866	1365	1065	1438	458	582	1563	0	2702	0	276	638	988	339	444	2009	1782	334	0	331	564	323	0	685	117	492	126	628	241	368	0	0	84	1893	219	540	0	222	132	118	497	50	290	193	0	772	120	59	587	0	25	72	289	0	0	203	0	0	85	452	45	0	0	97	0	0	0	54	0	65	393	153	0	0	9	20	0	0	0	0	0	0	0	0	0	0	8	12	0	92	0	86	0	0	123	0	1367	138	0	0	0	0	0	0	0	0	20	0	67	0	0	0	0	0	60	0	8	109	0	0	0	0	0	0	0	26	0	179	0	14	14	85	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	97	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T2_R1	2467	1656	1885	376	3546	5960	1308	1608	19	14	63	440	907	722	662	415	248	590	462	6759	1102	51	221	56	728	709	1412	235	206	405	68	30	22	71	45	456	486	2745	128	0	0	93	1441	0	27	557	0	572	0	276	0	562	94	0	0	0	58	0	21	42	107	21	0	0	144	60	0	0	183	311	0	9	0	0	0	84	332	0	0	0	0	0	0	87	0	52	0	13	14	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	73	103	0	0	0	11	46	2	0	0	30	0	99	0	0	0	139	0	10	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	187	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	106	0	0	0	0	0	0	0	120	0	0	0	0	0	0	78	0	0	16	231	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T2_R2	4306	3423	3793	239	489	4298	1235	2192	23	383	0	109	291	751	916	0	1110	0	498	242	220	134	548	48	493	25	319	2192	258	123	131	1981	1966	102	526	536	78	91	228	0	168	198	54	0	128	0	105	0	73	1096	0	148	204	0	0	0	0	78	110	72	362	9	0	86	0	0	0	17	0	0	0	0	0	0	0	0	232	61	0	0	0	0	0	171	0	0	0	385	370	0	296	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	121	0	0	0	0	37	0	0	3	0	3	0	1595	0	0	37	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	30	0	0	0	58	0	0	0	0	0	0	0	0	37	0	0	0	0	43	0	685	0	0	0	0	0	0	0	0	0	0	0	0	0	602	0	78	0	0	0	0	0	0	186	39	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T2_R3	2946	787	1270	3640	3363	1678	1551	590	88	185	0	105	858	2577	371	1163	542	131	462	0	1519	1122	741	0	421	411	68	1542	102	88	2096	73	0	0	68	0	81	0	146	0	0	44	556	718	60	81	70	253	0	212	0	60	0	59	42	0	85	232	89	505	0	200	42	31	0	8	94	41	155	0	0	0	0	0	0	146	88	0	78	0	0	0	0	0	0	125	0	8	9	0	30	95	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	31	0	0	0	246	0	38	0	0	203	0	0	0	0	96	0	0	0	0	0	0	0	99	0	24	0	105	0	63	0	0	0	0	0	76	0	22	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	20	0	241	0	0	10	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	6	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T3_R1	4249	1068	327	1357	2169	5280	524	3947	7311	437	37	252	902	568	583	0	699	2605	340	142	1217	85	524	1186	192	365	123	45	454	69	256	775	791	2354	75	0	0	0	214	0	50	68	16	21	54	225	104	0	0	73	2	297	0	0	624	7254	67	0	0	8	20	59	132	0	0	35	0	0	113	0	0	0	18	0	0	0	244	0	21	0	0	446	0	0	0	37	0	65	22	0	21	0	0	0	0	0	0	105	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	88	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H1_T3_R2	2643	1198	959	981	191	1903	105	2586	3684	47	0	222	1082	546	995	280	173	103	213	518	48	56	769	456	243	318	159	84	120	767	27	13539	12820	506	71	0	0	196	157	0	194	54	0	0	27	0	0	0	0	735	0	124	0	58	0	155	64	0	20	0	24	47	0	0	318	0	18	0	0	0	0	15	0	0	0	0	88	0	158	0	0	191	0	0	0	0	0	611	406	0	84	0	0	0	273	0	0	0	10	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	36	32	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1_T3_R3	2987	2251	1084	508	4483	126	3688	1392	24610	570	0	128	801	88	958	175	720	328	78	0	469	162	232	93	301	695	105	685	207	463	1216	23	20	280	0	0	0	0	143	0	0	134	11	0	245	33	0	951	12	61	0	78	0	0	0	0	0	24	0	0	0	27	0	0	0	271	0	0	235	0	0	24	0	0	0	0	0	0	0	0	0	1374	0	0	0	0	0	15	19	0	214	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	6	4	8	0	0	7	0	59	0	97	0	155	0	10	60	0	0	0	0	0	0	571	0	0	0	0	0	0	0	0	0	25	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
