H1_T1_R1	H1_T1_R2	H1_T1_R3	H1_T2_R1	H1_T2_R2	H1_T2_R3	H1_T3_R1	H1_T3_R2	H1_T3_R3	H2_T1_R1	H2_T1_R3	H2_T2_R1	H2_T2_R2	H2_T2_R3	H2_T3_R1	H2_T3_R2	H2_T3_R3	H3_T1_R1	H3_T1_R2	H3_T1_R3	H3_T2_R1	H3_T2_R2	H3_T2_R3	H3_T3_R1	H3_T3_R2	H3_T3_R3	H4_T1_R1	H4_T1_R2	H4_T1_R3	H4_T2_R1_dup	H4_T2_R1	H4_T2_R2	H4_T2_R3	H4_T3_R1	H4_T3_R2	H4_T3_R3	H5_T1_R1	H5_T1_R2	H5_T1_R3	H5_T2_R1	H5_T2_R2	H5_T2_R3	H5_T3_R1	H5_T3_R2	H5_T3_R3	H6_T1_R1	H6_T1_R2	H6_T1_R3	H6_T2_R1	H6_T2_R2	H6_T2_R3	H6_T3_R1	H6_T3_R2	H6_T3_R3	H7_T1_R1	H7_T1_R2	H7_T1_R3	H7_T2_R1	H7_T2_R2	H7_T2_R3	H7_T3_R1	H7_T3_R2	H7_T3_R3	H8_T1_R1	H8_T1_R2	H8_T1_R3	H8_T2_R1	H8_T2_R2	H8_T2_R3	H8_T3_R1	H8_T3_R2	H8_T3_R3	H9_T1_R1	H9_T1_R2	H9_T1_R3	H9_T2_R1	H9_T2_R2	H9_T2_R3	H9_T3_R1	H9_T3_R2	H9_T3_R3
SV_1	3302	5300	3941	2467	4306	2946	4249	2643	2987	2197	2847	4690	4169	4020	2641	1998	929	9808	6176	4956	4354	2998	5899	3621	3825	5157	7157	5116	6163	6008	6539	4812	4467	3190	2640	2566	3517	4648	2710	4031	2581	5372	5979	5060	3713	4059	2088	2334	3213	4475	4724	5075	5536	3137	7047	6530	5171	5102	2984	6128	3658	3178	2695	6086	3941	5060	4040	5727	4646	4123	4167	3336	6922	7300	3536	2730	2436	1578	2644	4663	2642
SV_2	5021	2683	8866	1656	3423	787	1068	1198	2251	5282	4200	2283	3072	6043	2710	10748	2504	9810	15550	6958	2689	3253	3301	5537	8285	3118	8943	2560	4839	3809	4068	3583	3027	3253	5017	3581	2328	2718	1236	5621	2873	6391	1755	2994	2348	1295	4853	6552	9824	1910	2408	4881	2005	1568	1622	2982	2944	1352	1000	2190	2244	2188	3712	2309	1136	4174	2953	2245	3186	3505	4984	3276	2998	3072	1540	7953	1279	1576	2577	3957	1687
SV_3	2868	1714	1365	1885	3793	1270	327	959	1084	1997	1023	1524	1598	2067	1339	1345	882	895	1543	2367	3910	5327	2088	1348	1580	487	3109	5210	5882	2415	2263	2524	9416	2034	4831	4855	1471	2445	1521	2339	4268	4701	5197	3416	4325	2737	3182	2876	7237	2144	807	3100	3506	4250	4395	3667	3167	3960	181	3602	7245	323	2113	1697	1159	3353	5434	976	5870	2443	4026	747	1285	2820	591	1488	1156	309	4013	2165	1310
SV_4	826	1408	1065	376	239	3640	1357	981	508	2723	812	424	3515	835	927	914	232	714	857	862	1233	972	1759	2722	947	2164	2176	771	540	2074	2132	2303	4035	210	521	126	350	2474	1054	2762	1069	1156	1326	4071	1123	1932	3768	5817	1561	1166	1620	1241	4246	1718	3056	3580	972	2981	4663	3768	1796	2159	5137	980	1249	1039	1991	1099	1955	1950	2306	2243	3037	3147	2159	3613	1373	494	3925	1236	945
SV_5	1776	821	1438	3546	489	3363	2169	191	4483	1409	2264	2382	2495	513	591	1471	294	705	666	4075	702	1057	1233	836	579	2575	174	950	3225	1711	1836	582	1380	217	819	486	1828	1307	2038	2479	1261	1611	4127	945	753	162	457	1121	338	1234	1965	456	1138	1517	2003	3828	421	631	1184	300	562	1502	369	1669	1147	514	717	1066	792	1433	2441	1299	735	3971	5649	5355	4141	1714	3836	2305	2760
SV_6	529	643	458	5960	4298	1678	5280	1903	126	268	253	2220	546	964	1389	156	1202	1633	2327	260	1053	520	214	3755	545	1953	1376	970	267	471	456	943	3141	1647	269	390	897	1279	1001	674	866	740	648	1911	2715	1164	1882	864	3421	1969	1681	642	1195	598	1208	2656	881	781	2609	377	883	156	4728	2610	2454	452	3493	8982	3776	192	1963	708	4066	847	548	202	1162	374	276	832	1278
SV_7	1396	538	582	1308	1235	1551	524	105	3688	1570	1008	458	185	1421	236	183	2110	471	1283	1276	282	2404	281	1547	3172	2204	669	752	3239	1256	1090	819	2034	2317	3114	838	3246	654	1560	2337	3166	835	2428	358	977	3540	4074	1034	634	1430	1142	1229	674	2139	1036	1213	3523	192	139	104	1610	392	984	107	1046	3097	2311	3488	2280	460	539	492	2701	2122	605	899	521	485	582	778	308
SV_8	970	1060	1563	1608	2192	590	3947	2586	1392	966	529	927	628	788	782	883	1277	1256	1071	3729	520	762	140	671	1406	865	274	1890	811	1559	1519	1123	1952	1519	840	1574	1229	2553	1500	3483	589	1945	3227	825	833	956	499	489	442	1634	1357	1021	1015	705	2159	1205	2913	886	1734	815	1198	2020	1368	310	1391	486	1126	2212	1486	1950	1593	1534	2576	2860	312	629	656	619	3496	609	770
SV_9	31	87	0	19	23	88	7311	3684	24610	4	49	0	56	186	804	6041	15	2668	458	896	671	6	74	62	426	159	56	9328	0	0	26	658	6895	2827	12555	13	0	0	650	0	18	42	221	66	151	9	17	18	0	0	0	198	0	0	0	40	41	278	28	0	9	33	74	13	27	1113	139	20	347	3723	1874	11155	0	142	17	6	10	49	33	78	0
SV_10	12200	220	2702	14	383	185	437	47	570	32	0	907	76	701	20	185	437	61	28	20	82	301	172	483	52	138	97	44	46	3097	3179	352	441	4283	5723	11944	6999	45	142	43	1123	188	101	131	203	88	121	284	72	199	4117	37	48	71	277	641	424	253	181	271	117	6640	184	25	23	87	1808	89	1872	4390	89	171	18	145	12	46	72	2994	256	326	455
