Sample_ID	Treatment	Week	left_primer	right_primer	DNA_Concentration	Hygiene_Score	Hive	Replicate
C6_NEG	NA	NA	Golay_L5	Golay_R18	12.39	NA	NA	NA
H1_T1_R1	bif	1	Golay_L4	Golay_R16	48.95	0.5106	H1	R1
H1_T1_R2	bif	1	Golay_L6	Golay_R23	46.89	0.5106	H1	R2
H1_T1_R3	bif	1	Golay_L18	Golay_R18	44.80	0.5106	H1	R3
H1_T2_R1	bif	2	Golay_L1	Golay_R1	53.10	0.5339	H1	R1
H1_T2_R2	bif	2	Golay_L1	Golay_R2	57.19	0.5339	H1	R2
H1_T2_R3	bif	2	Golay_L19	Golay_R21	44.89	0.5339	H1	R3
H1_T3_R1	bif	3	Golay_L21	Golay_R1	38.36	0.369	H1	R1
H1_T3_R2	bif	3	Golay_L22	Golay_R4	46.03	0.369	H1	R2
H1_T3_R3	bif	3	Golay_L16	Golay_R10	45.81	0.369	H1	R3
H2_T1_R1	veh	1	Golay_L3	Golay_R12	49.01	0.8564	H2	R1
H2_T1_R3	veh	1	Golay_L7	Golay_R2	51.46	0.8564	H2	R3
H2_T2_R1	veh	2	Golay_L12	Golay_R23	52.54	0.8164	H2	R1
H2_T2_R2	veh	2	Golay_L9	Golay_R12	53.13	0.8164	H2	R2
H2_T2_R3	veh	2	Golay_L10	Golay_R13	56	0.8164	H2	R3
H2_T3_R1	veh	3	Golay_L6	Golay_R22	45.79	0.7401	H2	R1
H2_T3_R2	veh	3	Golay_L19	Golay_R20	46.87	0.7401	H2	R2
H2_T3_R3	veh	3	Golay_L4	Golay_R14	50.47	0.7401	H2	R3
H3_T1_R1	lac	1	Golay_L20	Golay_R23	39.02	0.8157	H3	R1
H3_T1_R2	lac	1	Golay_L3	Golay_R11	43.31	0.8157	H3	R2
H3_T1_R3	lac	1	Golay_L17	Golay_R13	41.7	0.8157	H3	R3
H3_T2_R1	lac	2	Golay_L2	Golay_R8	41.80	0.9383	H3	R1
H3_T2_R2	lac	2	Golay_L5	Golay_R17	64.29	0.9383	H3	R2
H3_T2_R3	lac	2	Golay_L3	Golay_R10	44.67	0.9383	H3	R3
H3_T3_R1	lac	3	Golay_L8	Golay_R5	45.33	0.8051	H3	R1
H3_T3_R2	lac	3	Golay_L1	Golay_R3	60.40	0.8051	H3	R2
H3_T3_R3	lac	3	Golay_L4	Golay_R13	52.39	0.8051	H3	R3
H4_T1_R1	bif	1	Golay_L6	Golay_R24	47.89	0.5834	H4	R1
H4_T1_R2	bif	1	Golay_L21	Golay_R2	50.78	0.5834	H4	R2
H4_T1_R3	bif	1	Golay_L7	Golay_R3	45.17	0.5834	H4	R3
H4_T2_R1_dup	bif	2	Golay_L19	Golay_R19	40.74	0.5917	H4	R1
H4_T2_R1	bif	2	Golay_L24	Golay_R12	46.18	0.5917	H4	R1
H4_T2_R2	bif	2	Golay_L4	Golay_R15	49.65	0.5917	H4	R2
H4_T2_R3	bif	2	Golay_L2	Golay_R6	52.24	0.5917	H4	R3
H4_T3_R1	bif	3	Golay_L13	Golay_R3	41.02	0.8963	H4	R1
H4_T3_R2	bif	3	Golay_L6	Golay_R21	45.34	0.8963	H4	R2
H4_T3_R3	bif	3	Golay_L5	Golay_R20	53.53	0.8963	H4	R3
H5_T1_R1	veh	1	Golay_L8	Golay_R7	48.09	0.4049	H5	R1
H5_T1_R2	veh	1	Golay_L23	Golay_R7	46.63	0.4049	H5	R2
H5_T1_R3	veh	1	Golay_L14	Golay_R6	43.89	0.4049	H5	R3
H5_T2_R1	veh	2	Golay_L24	Golay_R11	38.63	0.6522	H5	R1
H5_T2_R2	veh	2	Golay_L12	Golay_R21	46.79	0.6522	H5	R2
